CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36608.86608 0.297526 -0.690364 0.616709 0.233549
60928 36609.86608 0.296992 -0.688335 0.618869 0.234503
60928 36610.86608 0.294288 -0.680090 0.627795 0.238212
60928 36611.86608 0.292569 -0.673928 0.634259 0.240705
60928 36612.86608 0.294067 -0.676234 0.631652 0.239266
60928 36613.86608 0.297718 -0.684754 0.622278 0.235045
60928 36614.86608 0.300320 -0.691020 0.615206 0.231993
60928 36615.86608 0.299791 -0.688999 0.617365 0.232951
60928 36616.86608 0.297107 -0.680776 0.626297 0.236695
60928 36617.86608 0.295402 -0.674630 0.632763 0.239214
60928 36618.86608 0.296891 -0.676933 0.630148 0.237764
60928 36619.86608 0.300520 -0.685435 0.620760 0.233504
60928 36620.86608 0.303106 -0.691688 0.613678 0.230421
60928 36621.86608 0.302583 -0.689674 0.615836 0.231386
60928 36622.86608 0.299920 -0.681473 0.624773 0.235164
60928 36623.86608 0.298228 -0.675344 0.631241 0.237710
60928 36624.86608 0.299710 -0.677643 0.628618 0.236250
60928 36625.86608 0.303316 -0.686126 0.619216 0.231951
60928 36626.86608 0.305887 -0.692366 0.612124 0.228838
60928 36627.86608 0.305371 -0.690359 0.614280 0.229808
60928 36628.86608 0.302730 -0.682180 0.623222 0.233622
60928 36629.86608 0.301052 -0.676068 0.629692 0.236195
60928 36630.86608 0.302526 -0.678363 0.627061 0.234725
60928 36631.86608 0.306111 -0.686828 0.617645 0.230389
60928 36632.86608 0.308666 -0.693054 0.610542 0.227245
60928 36633.86608 0.308158 -0.691054 0.612697 0.228223
60928 36634.86608 0.305538 -0.682897 0.621644 0.232072
60928 36635.86608 0.303875 -0.676801 0.628115 0.234673
60928 36636.86608 0.305342 -0.679093 0.625475 0.233194
60928 36637.86608 0.308905 -0.687538 0.616045 0.228820
60928 36638.86608 0.311445 -0.693750 0.608931 0.225648
60928 36639.86608 0.310945 -0.691756 0.611084 0.226633
60928 36640.86608 0.308348 -0.683621 0.620036 0.230518
60928 36641.86608 0.306700 -0.677543 0.626509 0.233147
60928 36642.86608 0.308161 -0.679830 0.623860 0.231660
60928 36643.86608 0.311702 -0.688255 0.614414 0.227249
60928 36644.86608 0.314228 -0.694452 0.607289 0.224048
60928 36645.86608 0.313736 -0.692465 0.609441 0.225041
60928 36646.86608 0.311162 -0.684353 0.618398 0.228962
60928 36647.86608 0.309530 -0.678291 0.624872 0.231620
60928 36648.86608 0.310984 -0.680574 0.622214 0.230125
